economist,influencedBy
George_Selgin,Leland_Yeager
George_Selgin,Knut_Wicksell
George_Selgin,Milton_Friedman
George_Stigler,Henry_Calvert_Simons
George_Stigler,Jacob_Viner
George_Stigler,Milton_Friedman
Gilles_Saint-Paul,Michael_J._Piore
Giovanni_Dosi,Christopher_Freeman
Giovanni_Dosi,Thomas_Kuhn
Giovanni_Dosi,Keith_Pavitt
Giovanni_Dosi,Herbert_A._Simon
Giovanni_Dosi,Richard_R._Nelson
Giovanni_Dosi,Sidney_Winter
Giuseppe_Chirichiello,Mario_Arcelli
Gordon_Tullock,Ludwig_von_Mises
Gordon_Tullock,Duncan_Black
Gordon_Tullock,Henry_Calvert_Simons
Gottfried_Feder,Rudolf_Jung
Gottfried_Feder,Ludwig_Feuerbach
Gottfried_Feder,Silvio_Gesell
Gottfried_Feder,Wilhelm_Marr
Gottfried_Haberler,Friedrich_von_Wieser
Morris_Copeland,Thorstein_Veblen
Morris_Copeland,John_Maurice_Clark
Morris_Copeland,Wesley_Clair_Mitchell
Morris_Copeland,Walter_W._Stewart
Murray_Rothbard,Carl_Menger
Murray_Rothbard,Sam_Francis_(writer)
Murray_Rothbard,Eugen_von_Böhm-Bawerk
Murray_Rothbard,Frédéric_Bastiat
Murray_Rothbard,Benjamin_Tucker
Murray_Rothbard,Richard_Cantillon
Murray_Rothbard,Frank_Chodorov
Murray_Rothbard,Franz_Oppenheimer
Murray_Rothbard,Garet_Garrett
Murray_Rothbard,Aquinas
Murray_Rothbard,Lysander_Spooner
Murray_Rothbard,Étienne_Bonnot_de_Condillac
Murray_Rothbard,Grotius
Murray_Rothbard,H._L._Mencken
Murray_Rothbard,Henry_Hazlitt
Murray_Rothbard,Isabel_Paterson
Murray_Rothbard,Aristotle
Murray_Rothbard,Herbert_Spencer
Murray_Rothbard,John_Locke
Murray_Rothbard,Ludwig_von_Mises
Murray_Rothbard,Gaetanus
Murray_Rothbard,Anne_Turgot
Murray_Rothbard,A._J._Nock
Murray_Rothbard,De_Vitoria
Myron_J._Gordon,John_Maynard_Keynes
Myron_Scholes,George_Stigler
Myron_Scholes,Milton_Friedman
Thomas_DiLorenzo,John_T._Flynn
Thomas_DiLorenzo,Henry_Hazlitt
Thomas_Hazlett,Carl_Menger
Thomas_Hazlett,Friedrich_Hayek
Thomas_Hodgskin,Adam_Smith
Thomas_Hodgskin,Jean-Baptiste_Say
Thomas_Hodgskin,John_Locke
Thomas_J._Sargent,Christopher_A._Sims
Thomas_J._Sargent,Neil_Wallace
Thomas_J._Sargent,"Robert_Lucas,_Jr."
Thomas_J._Sargent,John_F._Muth
Thomas_Mayer,John_Maynard_Keynes
Thomas_Mayer,Juergen_B._Donges
Thomas_Piketty,Simon_Kuznets
Thomas_Piketty,Adam_Smith
Thomas_Piketty,John_Maynard_Keynes
Thomas_Piketty,Anthony_Atkinson
Thomas_Robert_Malthus,David_Hume
Thomas_Robert_Malthus,David_Ricardo
Thomas_Robert_Malthus,Voltaire
Thomas_Robert_Malthus,Edward_Gibbon
Thomas_Robert_Malthus,William_Godwin
Thomas_Robert_Malthus,Adam_Smith
Thomas_Robert_Malthus,Jean_de_Sismondi
Thomas_Robert_Malthus,Jean-Jaques_Rousseau
Thomas_Schelling,Carl_von_Clausewitz
Thomas_Schelling,Niccolò_Machiavelli
Thorstein_Veblen,Edward_Bellamy
Thorstein_Veblen,Georges_Vacher_de_Lapouge
Thorstein_Veblen,Thomas_Paine
Thorstein_Veblen,Lester_Frank_Ward
Thorstein_Veblen,William_Graham_Sumner
Thorstein_Veblen,William_James
Thorstein_Veblen,Gustav_von_Schmoller
Thorstein_Veblen,Henri_de_Saint-Simon
Thorstein_Veblen,Herbert_Spencer
Thorstein_Veblen,Charles_Fourier
Thorstein_Veblen,John_Bates_Clark
Thorstein_Veblen,John_Dewey
David_Gordon,Samuel_Bowles
David_Gordon,Karl_Marx
David_Laibson,Benjamin_M._Friedman
David_Laibson,Matthew_Rabin
John_R._Commons,Henry_Dunning_Macleod
